time,user,emotion
"Wed, 27 July 2016 13:30:00",1,1
"Wed, 27 July 2016 13:30:00",2,2
"Wed, 27 July 2016 13:30:00",3,1
"Wed, 27 July 2016 13:30:00",4,1
"Wed, 27 July 2016 13:30:00",5,3
"Wed, 27 July 2016 13:30:00",6,2
"Wed, 27 July 2016 13:30:00",7,1
"Wed, 27 July 2016 13:30:00",8,1
"Wed, 27 July 2016 13:30:00",9,2
"Wed, 27 July 2016 13:30:00",10,1
"Wed, 27 July 2016 13:30:00",11,3
"Wed, 27 July 2016 13:30:00",12,2
"Wed, 27 July 2016 13:30:00",13,1
"Wed, 27 July 2016 13:30:00",14,1
"Wed, 27 July 2016 13:30:00",15,0
"Wed, 27 July 2016 13:30:00",16,1
"Wed, 27 July 2016 13:30:00",17,0
"Wed, 27 July 2016 13:30:00",18,2
"Wed, 27 July 2016 13:30:01",1,1
"Wed, 27 July 2016 13:30:01",2,1
"Wed, 27 July 2016 13:30:01",3,2
"Wed, 27 July 2016 13:30:01",4,1
"Wed, 27 July 2016 13:30:01",5,2
"Wed, 27 July 2016 13:30:01",6,2
"Wed, 27 July 2016 13:30:01",7,1
"Wed, 27 July 2016 13:30:01",8,0
"Wed, 27 July 2016 13:30:01",9,2
"Wed, 27 July 2016 13:30:01",10,0
"Wed, 27 July 2016 13:30:01",11,1
"Wed, 27 July 2016 13:30:01",12,0
"Wed, 27 July 2016 13:30:01",13,0
"Wed, 27 July 2016 13:30:01",14,2
"Wed, 27 July 2016 13:30:01",15,1
"Wed, 27 July 2016 13:30:01",16,1
"Wed, 27 July 2016 13:30:01",17,2
"Wed, 27 July 2016 13:30:01",18,1
"Wed, 27 July 2016 13:30:01",19,0
"Wed, 27 July 2016 13:30:01",20,1
"Wed, 27 July 2016 13:30:02",1,2
"Wed, 27 July 2016 13:30:02",2,2
"Wed, 27 July 2016 13:30:02",3,2
"Wed, 27 July 2016 13:30:02",4,0
"Wed, 27 July 2016 13:30:02",5,1
"Wed, 27 July 2016 13:30:02",6,1
"Wed, 27 July 2016 13:30:02",7,1
"Wed, 27 July 2016 13:30:02",8,1
"Wed, 27 July 2016 13:30:02",9,1
"Wed, 27 July 2016 13:30:02",10,0
"Wed, 27 July 2016 13:30:02",11,1
"Wed, 27 July 2016 13:30:02",12,0
"Wed, 27 July 2016 13:30:02",13,0
"Wed, 27 July 2016 13:30:02",14,1
"Wed, 27 July 2016 13:30:02",15,1
"Wed, 27 July 2016 13:30:02",16,0
"Wed, 27 July 2016 13:30:02",17,1
"Wed, 27 July 2016 13:30:02",18,0
"Wed, 27 July 2016 13:30:02",19,1
"Wed, 27 July 2016 13:30:02",20,0
"Wed, 27 July 2016 13:30:02",21,1
"Wed, 27 July 2016 13:30:02",22,1
"Wed, 27 July 2016 13:30:02",23,0
"Wed, 27 July 2016 13:30:02",24,2
"Wed, 27 July 2016 13:30:02",25,2
"Wed, 27 July 2016 13:30:03",1,0
"Wed, 27 July 2016 13:30:03",2,0
"Wed, 27 July 2016 13:30:03",3,0
"Wed, 27 July 2016 13:30:03",4,0
"Wed, 27 July 2016 13:30:03",5,1
"Wed, 27 July 2016 13:30:03",6,0
"Wed, 27 July 2016 13:30:03",7,0
"Wed, 27 July 2016 13:30:03",8,3
"Wed, 27 July 2016 13:30:03",9,0
"Wed, 27 July 2016 13:30:03",10,2
"Wed, 27 July 2016 13:30:03",11,2
"Wed, 27 July 2016 13:30:03",12,0
"Wed, 27 July 2016 13:30:03",13,1
"Wed, 27 July 2016 13:30:03",14,1
"Wed, 27 July 2016 13:30:03",15,0
"Wed, 27 July 2016 13:30:03",16,0
"Wed, 27 July 2016 13:30:03",17,2
"Wed, 27 July 2016 13:30:03",18,2
"Wed, 27 July 2016 13:30:03",19,2
"Wed, 27 July 2016 13:30:03",20,2
"Wed, 27 July 2016 13:30:03",21,2
"Wed, 27 July 2016 13:30:03",22,2
"Wed, 27 July 2016 13:30:03",23,2
"Wed, 27 July 2016 13:30:03",24,2
"Wed, 27 July 2016 13:30:03",25,1
"Wed, 27 July 2016 13:30:04",1,3
"Wed, 27 July 2016 13:30:04",2,0
"Wed, 27 July 2016 13:30:04",3,1
"Wed, 27 July 2016 13:30:04",4,1
"Wed, 27 July 2016 13:30:04",5,1
"Wed, 27 July 2016 13:30:04",6,1
"Wed, 27 July 2016 13:30:04",7,0
"Wed, 27 July 2016 13:30:04",8,0
"Wed, 27 July 2016 13:30:04",9,2
"Wed, 27 July 2016 13:30:04",10,0
"Wed, 27 July 2016 13:30:04",11,2
"Wed, 27 July 2016 13:30:04",12,1
"Wed, 27 July 2016 13:30:04",13,2
"Wed, 27 July 2016 13:30:04",14,1
"Wed, 27 July 2016 13:30:04",15,1
"Wed, 27 July 2016 13:30:04",16,3
"Wed, 27 July 2016 13:30:04",17,3
"Wed, 27 July 2016 13:30:04",18,1
"Wed, 27 July 2016 13:30:04",19,1
"Wed, 27 July 2016 13:30:04",20,0
"Wed, 27 July 2016 13:30:04",21,1
"Wed, 27 July 2016 13:30:04",22,1
"Wed, 27 July 2016 13:30:04",23,1
"Wed, 27 July 2016 13:30:04",24,0
"Wed, 27 July 2016 13:30:04",25,1
"Wed, 27 July 2016 13:30:05",1,1
"Wed, 27 July 2016 13:30:05",2,2
"Wed, 27 July 2016 13:30:05",3,2
"Wed, 27 July 2016 13:30:05",4,3
"Wed, 27 July 2016 13:30:05",5,1
"Wed, 27 July 2016 13:30:05",6,0
"Wed, 27 July 2016 13:30:05",7,1
"Wed, 27 July 2016 13:30:05",8,2
"Wed, 27 July 2016 13:30:05",9,3
"Wed, 27 July 2016 13:30:05",10,1
"Wed, 27 July 2016 13:30:05",11,1
"Wed, 27 July 2016 13:30:05",12,2
"Wed, 27 July 2016 13:30:05",13,1
"Wed, 27 July 2016 13:30:05",14,0
"Wed, 27 July 2016 13:30:05",15,1
"Wed, 27 July 2016 13:30:05",16,2
"Wed, 27 July 2016 13:30:05",17,1
"Wed, 27 July 2016 13:30:05",18,1
"Wed, 27 July 2016 13:30:05",19,1
"Wed, 27 July 2016 13:30:05",20,3
"Wed, 27 July 2016 13:30:05",21,0
"Wed, 27 July 2016 13:30:05",22,1
"Wed, 27 July 2016 13:30:05",23,1
"Wed, 27 July 2016 13:30:05",24,1
"Wed, 27 July 2016 13:30:05",25,1
"Wed, 27 July 2016 13:30:06",1,1
"Wed, 27 July 2016 13:30:06",2,2
"Wed, 27 July 2016 13:30:06",3,0
"Wed, 27 July 2016 13:30:06",4,1
"Wed, 27 July 2016 13:30:06",5,0
"Wed, 27 July 2016 13:30:06",6,1
"Wed, 27 July 2016 13:30:06",7,3
"Wed, 27 July 2016 13:30:06",8,0
"Wed, 27 July 2016 13:30:06",9,2
"Wed, 27 July 2016 13:30:06",10,0
"Wed, 27 July 2016 13:30:06",11,3
"Wed, 27 July 2016 13:30:06",12,3
"Wed, 27 July 2016 13:30:06",13,1
"Wed, 27 July 2016 13:30:06",14,2
"Wed, 27 July 2016 13:30:06",15,1
"Wed, 27 July 2016 13:30:06",16,3
"Wed, 27 July 2016 13:30:06",17,1
"Wed, 27 July 2016 13:30:06",18,1
"Wed, 27 July 2016 13:30:06",19,2
"Wed, 27 July 2016 13:30:06",20,3
"Wed, 27 July 2016 13:30:06",21,1
"Wed, 27 July 2016 13:30:06",22,1
"Wed, 27 July 2016 13:30:06",23,1
"Wed, 27 July 2016 13:30:06",24,1
"Wed, 27 July 2016 13:30:06",25,1
"Wed, 27 July 2016 13:30:07",1,1
"Wed, 27 July 2016 13:30:07",2,2
